G/L Acct External ID;G/L Account Long Text;G/L Account Type;FS Item;FS Item Name;Financial Statement Line Item;Account Grouping
65302300;Contract Services - Trash;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65302400;Contract Services - Allocated;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65302500;Contract Services - Reimbursement;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65302600;Contract Services - Contingent Labor;Primary Costs or Revenue;560200;Outside Services;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Outside Services
65900000;Work From Home Reimbursement;Primary Costs or Revenue;560900;Communication Expense;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Communication Expense
66000000;Other Operating Expenses;Primary Costs or Revenue;561100;Fuel & Lubricants;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
66000100;Lube Oil, Greases & Water;Primary Costs or Revenue;561100;Fuel & Lubricants;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
66000200;Fuel Own Use;Primary Costs or Revenue;561100;Fuel & Lubricants;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
66000300;Inbound Expense;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
66000400;Third Party Trucking Expense;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
66000500;Charitable Contributions;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
66000600;Charitable Contributions - Non Deductible;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
66000700;Management Fee;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
66000800;Management Fee (Delek Us Payroll);Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
66000900;Outbound Expense;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
67000000;Bank Expense;Primary Costs or Revenue;561000;Service Charges;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Service Charges
67000001;Bank Charges - Virtual Card;Primary Costs or Revenue;561000;Service Charges;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Service Charges
67000100;Credit Card Expense;Primary Costs or Revenue;561000;Service Charges;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Service Charges
67000200;Losses - Credit Cards;Primary Costs or Revenue;561000;Service Charges;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Service Charges
67000300;Brokerage Fees;Primary Costs or Revenue;561000;Service Charges;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Service Charges
67000310;Service Fees;Primary Costs or Revenue;561000;Service Charges;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Service Charges
67000400;Accretion Expense;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
67000500;Other Expenses;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
67000510;Intercompany Management Fees;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
67000600;Environmental;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
67000700;Opex Clearing Account;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
67000800;Right Of Way Expense;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
67000900;Other Non-Operating Expenses;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
67000910;G&A Clearing;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
67000920;Corporate Clean Team Expense;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
67000930;Royalties;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
67000940;Restructuring Cost;Primary Costs or Revenue;561200;Other expenses;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Other Operating Expenses 
67001000;Fines & Assessments;Primary Costs or Revenue;560600;Taxes, Licenses & Fees;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Taxes, Licenses & Fees
69000000;Excise Taxes;Primary Costs or Revenue;560600;Taxes, Licenses & Fees;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Taxes, Licenses & Fees
69000100;Sales & Use Taxes;Primary Costs or Revenue;560600;Taxes, Licenses & Fees;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Taxes, Licenses & Fees
69000200;Property Tax Expense;Primary Costs or Revenue;560600;Taxes, Licenses & Fees;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Taxes, Licenses & Fees
69000300;Business Tax Expense;Primary Costs or Revenue;560600;Taxes, Licenses & Fees;Opex above margin - YB20. Opex below margin - YB30. G&A below margin - YB40/YB50/YB99.;Taxes, Licenses & Fees
